date,decimal_year,satname,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15
1984-05-02 18:13:15,1984.3340246548526,L5,24.266296943770072,47.75496255208124,58.29239572102693,65.63291490824838,70.01521668090886,70.01779899972136,53.33398656715619,37.89868409914948,60.16379060091861,81.15906728077798,65.97707491582909,57.510723593302004,58.16461374374305,56.99007858204269,75.31047342150933,66.85800777763644
1984-09-07 18:16:09,1984.684476751747,L5,33.54135752783596,51.758904880709274,60.505356938619606,,,,,,,,,,,,105.31343166638078,100.25423867326353
1984-09-23 18:16:11,1984.7282832638589,L5,18.185145095957594,47.44658172050738,53.798871478651904,27.077038965639375,88.61556009373467,71.6127139203118,46.34934520257318,20.905163009930227,,,,,,,,
1984-10-25 18:16:05,1984.8158962880825,L5,24.121838386540723,50.63901576999935,51.32647141588283,,,74.19767695436803,63.865414988133054,,,72.48003582902862,55.914341843866765,45.03992884617669,46.99552319931919,57.50059790892107,120.31005001862984,109.76895356493934
1984-11-17 18:22:07,1984.8788681492433,L5,,,,,,64.59385933444446,47.400932576240905,,,,,,,,,93.28318572247356
1984-12-12 18:16:08,1984.947315824418,L5,,,,,,,48.611022215071216,,,,,,,,,
1985-04-19 18:16:20,1985.2956939567548,L5,25.14841698435558,46.5514680380611,57.94173374820151,54.642874536857775,70.42834472587369,72.71738400077717,59.55766413633048,41.53272324220935,54.32547668118701,63.87640133803229,50.469750685923366,44.98356815013399,48.5777824635695,55.65502517775999,75.30968986877565,48.23909983501009
1985-07-24 18:15:56,1985.5585330294257,L5,,,,,,,,,,,,,,,,
1985-10-12 18:15:03,1985.7775655899848,L5,40.422323700563126,46.93433818668703,49.04472838122717,20.741030057740215,,85.30136765313343,57.61488406633991,,73.83511896239963,85.87252431309358,64.2405693244586,49.6828514790345,44.02327940018669,52.17520608645954,91.92883891603596,63.33774654958267
1985-10-28 18:14:51,1985.8213721020966,L5,42.72797392467971,49.473684189333824,48.21337234268597,,,77.43099231914013,52.87226620774419,-0.5342463851298715,,66.57918750575101,50.75203771154089,39.34699627670754,41.553688089205764,46.83611335202241,81.92366625156076,78.2914510718096
1986-02-01 18:13:04,1986.0848751172166,L5,,,,,,,,,,,,,,13.31278068970306,75.86907311170143,63.28835254957322
1986-03-21 18:12:01,1986.216294653552,L5,35.32631721663881,55.77466248438637,59.61858912158544,65.63228832003627,75.86289526037642,85.93111455057156,59.261535503057395,,48.242150829723435,80.09821465882976,71.854564813911,55.53504342014833,64.69369960417676,70.54823080184747,120.31362835203778,108.29183722315945
1986-05-08 18:10:55,1986.3477141898875,L5,46.429059876892936,51.81655333371373,61.96872558460351,65.6361755820523,66.64324792627094,62.70514916143301,54.37770727253451,,,,,,,,,
1986-05-24 18:10:28,1986.3915207019993,L5,56.287277473373116,75.25185520643149,84.33850028392582,97.80092171883531,82.73484385968558,81.59530653755526,75.66525064881796,58.38846927149341,74.77409670043897,80.8981723271794,77.88533338814432,73.07205797551431,70.86828838177334,70.97499706169776,120.59875066681565,125.29370533558946
1986-06-09 18:10:00,1986.435327214111,L5,,,,,,,,,,,,,,,,
1986-07-11 18:08:57,1986.5229402383347,L5,35.15395238637225,57.87670813584565,,,,,,,,,,,61.912338226440184,59.6405928867563,90.31486055401774,108.28904008587985
1986-10-31 18:05:05,1986.8295858231174,L5,,,,,,56.59980582443321,48.90733019566918,,,52.06115500735684,50.80872687414666,27.528458960551887,32.01854169279319,46.24017330619256,78.06552355149336,55.74272686749782
1986-12-02 18:04:29,1986.917198847341,L5,,,,,,,,,,,,,,,96.64944340049023,78.28921513564008
1987-01-10 18:11:50,1987.0246411630628,L5,,,,,,,,,,,,,,,90.31473731708192,52.24903777523189
1987-01-19 18:05:54,1987.0492823261259,L5,,,,,,,,,,,,,,,90.31096638091286,93.29123684397497
1987-01-26 18:12:16,1987.0684476751746,L5,,,,,,,,,,,,,,,90.31175769949465,53.228651778883965
1987-02-04 18:06:27,1987.0930888382377,L5,,,,,,,,,,,,,,,90.31618253764317,109.67985019722435
1987-02-20 18:07:05,1987.1368953503495,L5,,,,,,,,,,,65.1423727159939,,,70.14666575223309,100.01398621445873,93.28476974463132
